iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3,field_cd_name
11,1.0,Male,2,1,1,10,7,,4,1,1.0,0,0.14,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,2.0,27.0,Finance,8.0,,,,Caucasian_American,7.0,3.0,Argentina,0,,1.0,5.0,4.0,"Academia, Research, Banking, Life",2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,7.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,,,,,,,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,,,,,,0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,4.0,2.0,0.0,,,,,,,,,,,,7.0,2.0,,,,,,,,19.51,17.07,17.07,17.07,12.2,17.07,,,,,,,,,,,,,8.0,8.0,8.0,6.0,5.0,,,,,,0.0,0.0,0.0,,,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,,,,,,,,,,,,,,7.0,8.0,7.0,7.0,5.0,,,,,,Business/Econ/Finances
12,2.0,Male,4,1,1,10,7,,3,1,1.0,0,0.54,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1.0,22.0,Law,1.0,,,,Caucasian_American,1.0,1.0,England,"14,850","29,237.00",1.0,1.0,1.0,Corporate Lawyer,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,7.0,20.0,60.0,0.0,0.0,40.0,0.0,0.0,,,,,,,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,9.0,10.0,9.0,,,,,,0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law
13,3.0,Male,6,1,1,10,7,,10,1,1.0,1,0.16,1,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,1,5.0,8.0,9.0,8.0,5.0,7.0,7.0,,1.0,22.0,Law,1.0,,,,Asian_American,3.0,5.0,Southern California,"92,821",,2.0,7.0,1.0,Lawyer,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,3.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,,,,,,,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0,,,,,,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,,,,,,,,,,,,,10.0,3.0,1.0,,,,,,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,,,,,,,,3.0,7.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law
14,4.0,Male,8,1,1,10,7,,5,1,1.0,1,0.61,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,2.0,23.0,Law,1.0,,,,Caucasian_American,1.0,1.0,"Cincinnati, Ohio","45,243","56,580.00",2.0,4.0,1.0,Corporate attorney,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,8.0,15.0,30.0,5.0,15.0,40.0,5.0,5.0,,,,,,,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,,,,,,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,2.0,,,,,,,,,,,,,6.0,3.0,,,,,,,,20.0,14.29,17.14,22.86,14.29,11.43,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,1.0,1.0,0.0,,,30.0,10.0,20.0,30.0,5.0,5.0,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,Law
15,5.0,Male,10,1,1,10,7,,7,1,1.0,1,0.21,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,1,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,2.0,24.0,Law,1.0,,,,Hispanic_American,3.0,1.0,Miami,"33,183","36,782.00",1.0,4.0,1.0,Lawyer,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,5.0,9.0,30.0,10.0,20.0,10.0,10.0,20.0,,,,,,,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,,,,,,1,8.0,7.0,9.0,6.0,9.0,7.0,8.0,6.0,2.0,,,,,,,,,,,,,8.0,2.0,1.0,,,,,,,21.21,18.18,12.12,21.21,6.06,21.21,,,,,,,,,,,,,7.0,7.0,9.0,7.0,9.0,,,,,,3.0,0.0,0.0,,,30.0,10.0,20.0,20.0,5.0,15.0,,,,,,,,,,,,,,,,,,,7.0,7.0,9.0,7.0,9.0,,,,,,Law
16,6.0,Male,12,1,1,10,7,,6,1,1.0,0,0.25,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,2.0,25.0,Business,8.0,,,,Caucasian_American,9.0,2.0,Milan - Italy,"26,900",,1.0,5.0,1.0,research/financial industry,7.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,7.0,10.0,50.0,0.0,30.0,10.0,0.0,10.0,,,,,,,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0,,,,,,1,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,2.0,3.0,,,,,,,,,,,,7.0,2.0,1.0,,,,,,,19.51,14.63,17.07,17.07,14.63,17.07,,,,,,,,,,,,,6.0,7.0,8.0,8.0,7.0,,,,,,0.0,0.0,0.0,,,50.0,0.0,20.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,6.0,6.0,8.0,8.0,8.0,,,,,,Business/Econ/Finances
17,7.0,Male,14,1,1,10,7,,1,1,1.0,0,0.34,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,1,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,2.0,30.0,political science,13.0,,,,Caucasian_American,1.0,1.0,"Georgia, USA","30,677","38,548.00",3.0,3.0,2.0,academics or journalism,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,4.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,,,,,,,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,6.0,8.0,4.0,,,,,,0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,5.0,3.0,2.0,,,,,,,30.0,16.67,20.0,20.0,6.67,6.67,,,,,,,,,,,,,6.0,7.0,8.0,5.0,7.0,,,,,,1.0,1.0,0.0,,,40.0,20.0,25.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,7.0,8.0,8.0,6.0,6.0,,,,,,Political Science/International Affairs 
18,8.0,Male,16,1,1,10,7,,2,1,1.0,0,0.5,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,,27.0,Business,8.0,,,,Caucasian_American,8.0,8.0,New York,"10,028","52,010.00",1.0,6.0,1.0,Financial Services,7.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,5.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,6.0,8.0,9.0,,,,,,0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,5.0,2.0,2.0,,,,,,,,,,,,5.0,2.0,1.0,,,,,,,24.39,12.2,17.07,14.63,14.63,17.07,,,,,,,,,,,,,6.0,8.0,8.0,6.0,9.0,,,,,,1.0,0.0,0.0,,,35.0,10.0,15.0,15.0,15.0,10.0,,,,,,,,,,,,,,,,,,,6.0,7.0,8.0,6.0,9.0,,,,,,Business/Econ/Finances
19,9.0,Male,18,1,1,10,7,,8,1,1.0,1,0.28,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,2.0,28.0,money,8.0,,,,Caucasian_American,1.0,1.0,california,"2,467",,4.0,1.0,1.0,ceo,7.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,10.0,20.0,50.0,0.0,25.0,10.0,0.0,15.0,,,,,,,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0,,,,,,1,7.0,7.0,8.0,8.0,8.0,9.0,6.5,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business/Econ/Finances
20,10.0,Male,20,1,1,10,7,,9,1,1.0,0,-0.36,0,21.0,4.0,15.0,20.0,20.0,15.0,15.0,15.0,1,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,2.0,24.0,Finance,8.0,,,,Caucasian_American,1.0,1.0,Washington DC,"3,031",,1.0,1.0,1.0,CEO,7.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,6.0,19.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,,,,,,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business/Econ/Finances
21,1.0,Female,1,2,2,16,5,,6,1,40.0,0,-0.23,1,25.0,4.0,25.0,20.0,25.0,20.0,10.0,0.0,0,3.0,10.0,10.0,6.0,4.0,7.0,4.0,1.0,2.0,21.0,Operations Research,5.0,,,,Asian_American,8.0,10.0,New Jersey,"7,661",,6.0,7.0,4.0,Undecided,10.0,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,8.0,5.0,2.0,5.0,0.0,12.0,18.0,20.0,16.0,16.0,18.0,,,,,,,35.0,15.0,10.0,15.0,5.0,20.0,5.0,9.0,7.0,9.0,10.0,,,,,,0,6.0,8.0,7.0,9.0,5.0,7.0,9.0,1.0,1.0,0.0,,,,,,,,,,,,6.0,3.0,3.0,,,,,,,20.0,15.0,20.0,15.0,10.0,20.0,,,,,,,,,,,,,6.0,9.0,9.0,7.0,10.0,,,,,,0.0,0.0,0.0,,,15.0,20.0,20.0,20.0,10.0,15.0,,,,,,,,,,,,,,,,,,,5.0,9.0,9.0,7.0,9.0,,,,,,Engineering
22,2.0,Female,3,2,2,16,7,,8,1,40.0,0,0.29,0,25.0,4.0,25.0,20.0,25.0,20.0,10.0,0.0,0,4.0,10.0,8.0,8.0,6.0,4.0,3.0,1.0,2.0,27.0,TC (Health Ed),9.0,,,,African American,1.0,2.0,"Ann Arbor, MI","48,104","28,418.00",1.0,6.0,2.0,Informatics,5.0,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,4.0,2.0,20.0,20.0,20.0,10.0,10.0,20.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,7.0,8.0,7.0,,,,,,0,5.0,7.0,7.0,6.0,7.0,5.0,6.0,4.0,2.0,2.0,,,,,,,,,,,,6.0,3.0,3.0,,,,,,,20.0,20.0,10.0,20.0,10.0,20.0,,,,,,,,,,,,,6.0,7.0,7.0,7.0,7.0,,,,,,0.0,0.0,0.0,,0.0,15.0,15.0,20.0,15.0,15.0,20.0,,,,,,,,,,,,,,,,,,,7.0,8.0,8.0,7.0,6.0,,,,,,"Education, Academia "
23,3.0,Female,5,2,2,16,3,,5,1,40.0,0,0.22,1,25.0,4.0,25.0,20.0,25.0,20.0,10.0,0.0,0,5.0,4.0,3.0,7.0,4.0,3.0,1.0,1.0,2.0,21.0,Psychology,3.0,,,,Asian_American,9.0,6.0,Hong Kong,0,,1.0,1.0,1.0,psychologist,3.0,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,5.0,3.0,10.0,20.0,40.0,10.0,10.0,10.0,,,,,,,40.0,5.0,20.0,20.0,5.0,10.0,5.0,8.0,6.0,7.0,8.0,,,,,,1,5.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,2.0,3.0,,,,,,,,,,,,7.0,2.0,2.0,,,,,,,10.0,10.0,30.0,20.0,10.0,20.0,,,,,,,,,,,,,5.0,7.0,7.0,6.0,7.0,,,,,,0.0,0.0,0.0,,,25.0,10.0,30.0,15.0,10.0,10.0,,,,,,,,,,,,,,,,,,,5.0,7.0,8.0,6.0,8.0,,,,,,Social Science/Psychologist
